,country,country_code,capital_cities,lat,long,daily_url,hourly_url
0,Albania,al,Tirana,41.3305141,19.8255629,"https://api.open-meteo.com/v1/forecast?latitude=41.3305141&longitude=19.8255629&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=41.3305141&longitude=19.8255629&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
1,Andorra,ad,Andorra la Vella,42.5069391,1.5212467,"https://api.open-meteo.com/v1/forecast?latitude=42.5069391&longitude=1.5212467&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=42.5069391&longitude=1.5212467&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
2,Armenia,am,Yerevan,40.1776245,44.5126174,"https://api.open-meteo.com/v1/forecast?latitude=40.1776245&longitude=44.5126174&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=40.1776245&longitude=44.5126174&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
3,Austria,at,Vienna,48.2083537,16.3725042,"https://api.open-meteo.com/v1/forecast?latitude=48.2083537&longitude=16.3725042&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=48.2083537&longitude=16.3725042&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
4,Azerbaijan,az,Baku,40.1639991,50.2777093,"https://api.open-meteo.com/v1/forecast?latitude=40.1639991&longitude=50.2777093&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=40.1639991&longitude=50.2777093&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
5,Belarus,by,Minsk,53.9024716,27.5618225,"https://api.open-meteo.com/v1/forecast?latitude=53.9024716&longitude=27.5618225&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=53.9024716&longitude=27.5618225&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
6,Belgium,be,Brussels,50.8465573,4.351697,"https://api.open-meteo.com/v1/forecast?latitude=50.8465573&longitude=4.351697&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=50.8465573&longitude=4.351697&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
7,Bosnia and Herzegovina,ba,Sarajevo,43.8519774,18.3866868,"https://api.open-meteo.com/v1/forecast?latitude=43.8519774&longitude=18.3866868&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=43.8519774&longitude=18.3866868&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
8,Bulgaria,bg,Sofia,42.6978634,23.3221789,"https://api.open-meteo.com/v1/forecast?latitude=42.6978634&longitude=23.3221789&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=42.6978634&longitude=23.3221789&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
9,Croatia,hr,Zagreb,45.8131847,15.9771774,"https://api.open-meteo.com/v1/forecast?latitude=45.8131847&longitude=15.9771774&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=45.8131847&longitude=15.9771774&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
10,Cyprus,cy,Nicosia,35.1739302,33.364726,"https://api.open-meteo.com/v1/forecast?latitude=35.1739302&longitude=33.364726&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=35.1739302&longitude=33.364726&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
11,Czechia,cz,Prague,50.0874654,14.4212535,"https://api.open-meteo.com/v1/forecast?latitude=50.0874654&longitude=14.4212535&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=50.0874654&longitude=14.4212535&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
12,Denmark,dk,Copenhagen,55.6867243,12.5700724,"https://api.open-meteo.com/v1/forecast?latitude=55.6867243&longitude=12.5700724&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=55.6867243&longitude=12.5700724&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
13,Estonia,ee,Tallinn,59.4372155,24.7453688,"https://api.open-meteo.com/v1/forecast?latitude=59.4372155&longitude=24.7453688&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=59.4372155&longitude=24.7453688&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
14,Finland,fi,Helsinki,60.1674881,24.9427473,"https://api.open-meteo.com/v1/forecast?latitude=60.1674881&longitude=24.9427473&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=60.1674881&longitude=24.9427473&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
15,France,fr,Paris,48.8588897,2.320041,"https://api.open-meteo.com/v1/forecast?latitude=48.8588897&longitude=2.320041&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=48.8588897&longitude=2.320041&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
16,Georgia,ge,Tbilisi,41.6934591,44.8014495,"https://api.open-meteo.com/v1/forecast?latitude=41.6934591&longitude=44.8014495&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=41.6934591&longitude=44.8014495&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
17,Germany,de,Berlin,52.5170365,13.3888599,"https://api.open-meteo.com/v1/forecast?latitude=52.5170365&longitude=13.3888599&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=52.5170365&longitude=13.3888599&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
18,Greece,gr,Athens,37.9839412,23.7283052,"https://api.open-meteo.com/v1/forecast?latitude=37.9839412&longitude=23.7283052&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=37.9839412&longitude=23.7283052&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
19,Hungary,hu,Budapest,47.4979937,19.0403594,"https://api.open-meteo.com/v1/forecast?latitude=47.4979937&longitude=19.0403594&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=47.4979937&longitude=19.0403594&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
20,Iceland,is,Reykjavik,64.145981,-21.9422367,"https://api.open-meteo.com/v1/forecast?latitude=64.145981&longitude=-21.9422367&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=64.145981&longitude=-21.9422367&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
21,Ireland,ie,Dublin,53.3497645,-6.2602732,"https://api.open-meteo.com/v1/forecast?latitude=53.3497645&longitude=-6.2602732&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=53.3497645&longitude=-6.2602732&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
22,Italy,it,Rome,41.8933203,12.4829321,"https://api.open-meteo.com/v1/forecast?latitude=41.8933203&longitude=12.4829321&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=41.8933203&longitude=12.4829321&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
23,Kazakhstan,kz,Nur-Sultan,51.1282205,71.4306682,"https://api.open-meteo.com/v1/forecast?latitude=51.1282205&longitude=71.4306682&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=51.1282205&longitude=71.4306682&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
24,Kosovo,xk,Kosovo,42.5869578,20.9021231,"https://api.open-meteo.com/v1/forecast?latitude=42.5869578&longitude=20.9021231&daily=weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum&timezone=Europe%2FBerlin&past_days=2","https://api.open-meteo.com/v1/forecast?latitude=42.5869578&longitude=20.9021231&hourly=temperature_2m,relativehumidity_2m,apparent_temperature,pressure_msl,precipitation,weathercode,snow_height,cloudcover,direct_radiation,windspeed_10m,winddirection_10m&timezone=Europe%2FBerlin&past_days=2"
